dimension,model,template_id,persona_id,repeat_idx,brand,rank,sentiment,attributes,is_target,is_competitor
rec,sonnet,rec_3,10,1,Clement Hurd,4,0.95,"[""iconic illustrator""]",f,f
perception,sonnet,perception_3,9,0,The Very Hungry Caterpillar,1,0.95,"[""timeless"", ""beloved"", ""educational"", ""distinctive art"", ""unique"", ""high quality"", ""durable"", ""high reread value""]",t,f
perception,sonnet,perception_3,9,0,Eric Carle,2,0.9,"[""distinctive art"", ""unique"", ""high quality""]",f,f
rec,sonnet,rec_3,10,1,Maurice Sendak,1,0.95,"[""iconic"", ""rare"", ""commanding prices""]",f,f
rec,sonnet,rec_3,10,1,Eric Carle,2,0.95,"[""prolific signer"", ""post-war defining"", ""finite first editions""]",f,f
rec,sonnet,rec_3,10,1,Margaret Wise Brown,3,0.95,"[""iconic"", ""most iconic American picture book""]",f,f
rec,sonnet,rec_3,10,1,Chris Van Allsburg,5,0.95,"[""highly collectible"", ""stunning production values"", ""signer""]",f,f
rec,sonnet,rec_3,10,1,Ian Falconer,6,0.95,"[""elegant"", ""design-forward""]",f,f
rec,sonnet,rec_3,10,1,Jon Klassen,7,0.9,"[""minimalist"", ""extraordinary"", ""rare signer""]",f,f
rec,sonnet,rec_3,10,1,Mac Barnett,8,0.9,"[""prestigious collaborator""]",f,f
rec,sonnet,rec_3,10,1,Shaun Tan,9,0.9,"[""gallery-level artist""]",f,f
rec,sonnet,rec_3,10,1,John Marsden,10,0.9,"[""co-author""]",f,f
rec,sonnet,rec_3,10,1,David Wiesner,11,0.9,"[""wordless"", ""masterpiece"", ""Caldecott winner""]",f,f
rec,sonnet,rec_3,10,1,Aaron Becker,12,0.9,"[""wordless"", ""stunning illustrations""]",f,f
rec,sonnet,rec_3,10,1,Shel Silverstein,13,0.9,"[""exceptionally rare signer"", ""valuable""]",f,f
rec,sonnet,rec_3,10,1,Roald Dahl,14,0.9,"[""literary prestige""]",f,f
rec,sonnet,rec_3,10,1,Quentin Blake,15,0.9,"[""iconic illustrator""]",f,f
rec,sonnet,rec_3,10,1,Crockett Johnson,16,0.9,"[""conceptual"", ""masterpiece""]",f,f
rec,sonnet,rec_3,10,1,Mo Willems,17,0.9,"[""prolific signer"", ""defining 2000s style""]",f,f
rec,sonnet,rec_3,10,1,Folio Society,18,0.9,"[""premium materials"", ""slipcased editions"", ""stunning""]",f,f
rec,sonnet,rec_3,10,1,Jonathan Cape,19,0.85,"[""UK first editions"", ""superior binding quality""]",f,f
rec,sonnet,rec_3,10,1,Isabelle Arsenault,20,0.85,"[""contemporary"", ""offers signed editions""]",f,f
rec,sonnet,rec_3,10,1,Sydney Smith,21,0.85,"[""contemporary"", ""offers signed editions""]",f,f
rec,sonnet,rec_3,10,1,Brian Selznick,22,0.85,"[""actively collectable"", ""signing opportunities available""]",f,f
rec,sonnet,rec_3,10,1,Yuyi Morales,23,0.85,"[""actively collectable"", ""signing opportunities available""]",f,f
rec,sonnet,rec_3,10,1,Kadir Nelson,24,0.85,"[""actively collectable"", ""signing opportunities available""]",f,f
rec,sonnet,rec_3,10,1,Kickstarter,25,0.8,"[""offers signed limited runs""]",f,f
